code,product_name,brands,countries,country_code,categories,created_t,last_modified_t,nutrition_grades,nova_group,nutriments.fat_100g,nutriments.sugars_100g,nutriments.salt_100g,nutriments.proteins_100g,nutriments.carbohydrates_100g,ingredients_text,additives_tags,additives_n,additives_list,nutrition_grade,nutrition_score,continent,created_year,ingredients_count
6111203001474,La prairie classique,margafrique,"France,Morocco",fr,"Spreads, Salted spreads, en:light-margarines",1533099235,1744961172,b,4.0,70.0,0.0,0.0,1.0,0.7,"Corps gras végétal, eau, sucre, sel, mono-diglycerides végétales, lécithine de soja, calcium, amidon, sorbate de potassium, antioxydant, acide citrique, arôme, ß-carotène, 7 vitamines : A, B6, B2, B1, E, D, et B12.","['en:e202', 'en:e322', 'en:e322i', 'en:e330']",3.0,"['en:e202', 'en:e322', 'en:e322i', 'en:e330']",B,4.0,Europe,2018,20.0
87157215,Tomato Ketchup,Heinz,"Bélgica,Francia,Alemania,Luxemburgo,España,Suiza,Reino Unido",fr,"Condiments, Sauces, Sauces tomate, Ketchup, Ketchup de tomate",1365571271,1746263879,d,3.0,0.1,22.8,1.8,1.2,23.2,"tomatoes (148g per 100g tomato ketchup), vinegar, sugar, salt, herbs and spices,",[],0.0,[],D,2.0,Europe,2013,6.0
8410076801180,Crunchy oats & honey,Nature Valley,"België,Frankrijk,Duitsland,Ierland,Nederland,Spanje,Zwitserland,Verenigd Koninkrijk,en:Bélgica",fr,"Plantaardige levensmiddelen en dranken,Plantaardige levensmiddelen,Snacks,Granen en aardappels,Zoete snacks,Repen,Graanrepen",1607720821,1744906088,c,4.0,18.1,26.9,0.00214,8.57,64.3,"whole grain oat flakes (60%),sugar, refined sunflower oil, honey (3%), salt, cane molasses, emulsifier (sunflower lecithin), gasifier (sodium acid carbonate),","['en:e322', 'en:e322i', 'en:e500', 'en:e500ii']",2.0,"['en:e322', 'en:e322i', 'en:e500', 'en:e500ii']",C,3.0,Europe,2020,9.0
4008400401621,Nutella,Ferrero,"Finland, France, Germany, Hungary, Morocco, Netherlands, en:switzerland",fr,"Breakfasts, Spreads, Sweet spreads, Bread coverings, fr:Pâtes à tartiner, Hazelnut spreads, Chocolate spreads, Cocoa and hazelnuts spreads",1381054916,1745129498,e,4.0,30.9,56.3,0.11,6.3,57.5,"sugar, palm oil, hazelnuts (13%), skimmed milk powder (8,7%), fat-reduced cocoa (7,4%), emulsifier: lecithins (soya), vanillin",['en:e322'],1.0,['en:e322'],E,1.0,Europe,2013,9.0
3251490332080,Figue & son,Gerblé,"Belgique,France,Polynésie française,Martinique,Maroc,La Réunion,Suisse",fr,"Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au son de blé,Biscuits au son de blé et la figue",1379153284,1738702493,b,4.0,19.0,16.0,0.19,9.3,54.0,"Farine complète de blé 26,5%, farine de blé 26,1%, son de blé 19,9%, huile de colza, sucre de canne roux, pâte de figues 5,1%, arôme naturel de figue, arôme naturel, émulsifiant : lécithines de colza, poudres à lever (acide citrique, carbonates de potassium, carbonates de sodium).","['en:e322', 'en:e322i', 'en:e330']",2.0,"['en:e322', 'en:e322i', 'en:e330']",B,4.0,Europe,2013,16.0
3175680015228,Levure de bière,Gerblé,France,fr,Levures de bière,1366889844,1746529569,not-applicable,1.0,4.6,1.2,0.32,46.0,12.0,"Levure de bière en paillettes 93%, extrait de malt d'orge 7%",[],0.0,[],N,,Europe,2013,2.0
3229820160672,Croustillant Chocolat,Bjorg,"France,Morocco",fr,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Breakfast cereals rich in fibre,Crunchy cereal clusters,Cereal clusters with chocolate",1360957871,1745348603,c,4.0,14.0,14.0,0.28,9.8,62.0,"Flocons d'avoine complète, Flocons de blé complet, Chocolat noir 8% (pâte de cacao, sucre de canne non raffiné, beurre de cacao), Riz extrudé (farine de riz), Sucre de canne non raffiné, Farine de blé, Huile de tournesol, Miel, Stabilisant: gomme d'acacia, Mélasses, Flocons de noix de coco, Sel marin, Cannelle, Antioxydant: extrait riche en tocophérols.","['en:e306', 'en:e414']",2.0,"['en:e306', 'en:e414']",C,3.0,Europe,2013,16.0
5449000133328,,Coca-Cola,"Argélia,Bélgica,França,Alemanha,Hungria,Itália,Marrocos,Polónia,Senegal,Espanha,Suíça,Tunísia",fr,"Boissons et préparations de boissons, Boissons, Boissons gazeuses, Boissons édulcorées, Sodas, Boissons light, Boissons sans sucre ajouté, Sodas au cola, Sodas light, Sodas au cola light, Boissons avec sucre ajouté",1428607278,1744628326,c,4.0,0.0,0.0,0.02,0.0,0.0,"Eau gazéifiée, colorant E150d, acidifiants , acide phosphorique, citrate de sodium, édulcorants , aspartame, acésulfame-K, arômes naturels (extraits végétaux), dont caféine, Contient une source de phénylalanine.","['en:e150d', 'en:e331', 'en:e338', 'en:e950', 'en:e951']",5.0,"['en:e150d', 'en:e331', 'en:e338', 'en:e950', 'en:e951']",C,3.0,Europe,2015,11.0
3760049790214,Pain De Mie Bio,"La Boulangère, La Boulangère Bio","France,Suisse",fr,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads, fr:écologie, en:wholemeal-sliced-breads",1370782516,1743770694,c,4.0,4.2,6.3,1.1,8.1,47.0,"wheat flour*, water, whole wheat flour* 13%, brown cane sugar*, yeast, rapeseed oil*, apple cider vinegar*, wheat bran*, salt, wheat gluten*, flour processing agent (ascorbic acid), possible traces of soy, *ingredients from organic farming,",[],0.0,[],C,3.0,Europe,2013,14.0
3046920028721,Bitter Extra Kraftig,"Lindt, ลินด์","Australië,Oostenrijk,België,Bulgarije,Frankrijk,Duitsland,Italië,Libanon,Marokko,Roemenië,Spanje,Zwitserland,Thailand,Verenigd Koninkrijk",fr,"snacks, nl:zoete-snacks, nl:cacao-en-afgeleide-producten, nl:chocoladeproducten, nl:pure-chocolades, nl:extra-fijne-pure-chocolade",1380743001,1742409998,d,3.0,49.0,0.4,0.06,14.0,9.0,"Kakaomasse, fettarmes Kakaopulver, Kakaobutter, Rohrohrzucker. Kann Schalenfrüchte, Milch und Soja enthalten.",[],0.0,[],D,2.0,Europe,2013,5.0
